fwy,dir,sta_from,sta_to,mid_x,mid_y,x1,y1,x2,y2,speed_pm_mph,vol_day_veh,cell_euclidean_mid,cell_weighted_mid
5,N,763669,716956,-1364.4210919023462,4426.489990363189,-1076.6615937415256,4218.265930363301,-1652.1805900631668,4634.714050363077,61.405348969937506,8824.5,5,5
5,N,716956,759591,-2055.8553867936603,4962.217490363177,-1652.1805900631668,4634.714050363077,-2459.530183524154,5289.720930363275,62.74538143560717,10254.0,5,5
5,N,759591,775734,-2622.060584263674,5658.468430363257,-2459.530183524154,5289.720930363275,-2784.590985003195,6027.215930363237,61.86765637371337,10104.0,5,5
5,N,775734,759602,-2831.1138713430682,6164.139530363194,-2784.590985003195,6027.215930363237,-2877.6367576829416,6301.063130363153,61.82675684243897,9463.0,5,5
5,N,759602,761599,-3139.3913917248888,7368.343630362989,-2877.6367576829416,6301.063130363153,-3401.146025766836,8435.624130362825,63.33464563885033,10176.5,25,25
5,N,761599,761604,-3793.5243832973274,9060.073670363054,-3401.146025766836,8435.624130362825,-4185.902740827819,9684.52321036328,64.22750956769205,9530.0,25,25
5,N,761604,718384,-4372.178717845951,9861.744650363136,-4185.902740827819,9684.52321036328,-4558.454694864083,10038.966090362992,61.527621869350234,9036.0,25,25
5,N,718384,716963,-4792.221824438781,10434.820010362955,-4558.454694864083,10038.966090362992,-5025.98895401348,10830.673930362918,61.28462075918121,9403.0,25,25
5,N,716963,716968,-5116.452683446089,10908.375290362903,-5025.98895401348,10830.673930362918,-5206.916412878699,10986.076650362887,63.096755375329394,9015.0,25,25
5,N,716968,716971,-5497.719033436528,11241.333410363073,-5206.916412878699,10986.076650362887,-5788.521653994357,11496.590170363257,63.353326381478965,8131.5,25,25
5,N,716971,716973,-5818.1690434057255,11524.531490363108,-5788.521653994357,11496.590170363257,-5847.816432817093,11552.47281036296,64.02770191118269,7719.5,25,25
5,N,716973,716974,-6213.313875841992,12070.500430362947,-5847.816432817093,11552.47281036296,-6578.81131886689,12588.528050362931,63.77752870425551,8126.5,25,25
5,N,716974,716978,-6959.155510555622,12986.942330362757,-6578.81131886689,12588.528050362931,-7339.499702244352,13385.356610362584,63.64387370329803,8271.0,25,25
5,N,716978,716981,-7774.297341669731,13769.076650362731,-7339.499702244352,13385.356610362584,-8209.094981095112,14152.796690362877,63.81060112864137,7510.0,25,25
5,N,716981,716985,-8628.630900621774,14539.411050362833,-8209.094981095112,14152.796690362877,-9048.166820148437,14926.02541036279,63.284645279323485,6134.0,32,32
5,N,716985,716988,-9502.606431408096,15585.652070362794,-9048.166820148437,14926.02541036279,-9957.046042667755,16245.278730362797,62.60154418356094,6181.0,32,32
5,N,716988,716990,-10798.930464541842,16770.764790362933,-9957.046042667755,16245.278730362797,-11640.814886415928,17296.25085036307,59.27824399752082,6186.0,49,49
5,N,716990,716994,-11995.015890240826,17506.423010363185,-11640.814886415928,17296.25085036307,-12349.216894065721,17716.595170363296,60.08433114681105,6052.0,49,49
5,N,716994,761644,-12747.220417238394,17754.55529036316,-12349.216894065721,17716.595170363296,-13145.223940411066,17792.51541036303,65.29087242824922,5802.0,49,49
5,N,761644,716997,-13393.837818648943,17818.452970363196,-13145.223940411066,17792.51541036303,-13642.45169688682,17844.390530363362,65.01074279207688,5454.0,49,49
5,N,716997,717000,-14211.14672177334,18077.049330363254,-13642.45169688682,17844.390530363362,-14779.84174665986,18309.708130363146,63.92971758145991,5609.5,49,49
5,N,717000,775462,-15393.722528347047,18660.755750363125,-14779.84174665986,18309.708130363146,-16007.603310034232,19011.803370363104,64.70098939929328,5660.0,49,49
5,N,775462,764156,-16098.804766109255,19113.38287036292,-16007.603310034232,19011.803370363104,-16190.006222184278,19214.96237036273,56.58558045199923,10354.0,49,49
5,N,764156,718389,-16423.220056777165,19481.462450363004,-16190.006222184278,19214.96237036273,-16656.433891370056,19747.962530363275,60.024070596662966,9601.5,49,49
5,N,718389,718092,-16750.724577756417,19856.33255036295,-16656.433891370056,19747.962530363275,-16845.01526414278,19964.702570362624,63.371235240367824,7859.0,49,49
5,N,718092,768682,-16998.692945183167,20141.590050362927,-16845.01526414278,19964.702570362624,-17152.37062622355,20318.47753036323,62.754365923608006,8193.0,48,48
5,N,768682,768664,-17416.292332275785,20623.8282903631,-17152.37062622355,20318.47753036323,-17680.21403832802,20929.17905036297,61.65511976872212,9182.0,48,48
5,N,768664,768655,-17791.795192878428,21056.41781036286,-17680.21403832802,20929.17905036297,-17903.376347428835,21183.65657036275,61.33606816284885,8916.5,48,48
5,N,768655,759617,-18254.39590511111,21683.149410362865,-17903.376347428835,21183.65657036275,-18605.41546279338,22182.642250362976,64.10827246219077,6717.5,48,48
5,N,759617,718394,-18705.33131482258,22309.324410363086,-18605.41546279338,22182.642250362976,-18805.247166851776,22436.00657036319,65.21693267141856,4208.5,12,12
5,N,718394,759834,-19122.884593999555,22859.80181036301,-18805.247166851776,22436.00657036319,-19440.522021147335,23283.597050362823,62.22264337614533,3691.5,12,12
5,N,759834,759626,-19586.223032873993,23459.482650362886,-19440.522021147335,23283.597050362823,-19731.92404460065,23635.36825036295,60.525536415114196,3523.0,12,12
5,N,759626,759636,-20912.01002375916,25049.85583036297,-19731.92404460065,23635.36825036295,-22092.096002917668,26464.34341036299,60.968340068183274,4793.0,26,26
5,N,759636,774092,-22389.445947419383,26871.997250362823,-22092.096002917668,26464.34341036299,-22686.795891921098,27279.651090362655,61.52285474391268,5955.0,29,29
5,N,774092,718404,-23028.732190328643,27739.23571036268,-22686.795891921098,27279.651090362655,-23370.668488736188,28198.8203303627,66.53471627906978,5375.0,29,29
5,N,718404,775535,-23798.642156726448,28528.16055036291,-23370.668488736188,28198.8203303627,-24226.615824716708,28857.500770363116,66.53471627906978,5375.0,29,29
5,N,775535,763641,-24434.23976642757,29294.598750362962,-24226.615824716708,28857.500770363116,-24641.863708138437,29731.696730362808,66.12729698818147,2623.0,50,50
5,N,763641,775520,-24695.625537148968,29791.69821036279,-24641.863708138437,29731.696730362808,-24749.387366159503,29851.699690362773,66.12729698818147,2623.0,50,50
5,N,775520,716007,-25512.519469037175,30222.896230362898,-24749.387366159503,29851.699690362773,-26275.65157191485,30594.092770363022,64.75808748728383,983.0,50,50
5,N,716007,759648,-27648.83749952595,31867.64923036292,-26275.65157191485,30594.092770363022,-29022.023427137054,33141.20569036282,62.632707760233686,3384.5,50,50
5,N,759648,768138,-29147.160308727725,33347.81561036283,-29022.023427137054,33141.20569036282,-29272.297190318397,33554.42553036284,62.53916601843962,6140.0,50,50
5,N,768138,769091,-29842.46766848778,34965.74049036296,-29272.297190318397,33554.42553036284,-30412.638146657166,36377.05545036308,60.83376374010959,5749.5,50,50
5,N,769091,759654,-30652.722060600812,37195.981030363095,-30412.638146657166,36377.05545036308,-30892.805974544463,38014.90661036312,59.249238859329424,4600.5,50,50
5,N,759654,759666,-31243.180021415606,38904.353410363066,-30892.805974544463,38014.90661036312,-31593.55406828675,39793.80021036301,58.621219181916004,4349.5,50,50
5,N,759666,716017,-31810.445700933604,40198.05879036311,-31593.55406828675,39793.80021036301,-32027.337333580454,40602.31737036321,58.23214242985202,4148.5,50,50
5,N,716017,769029,-32308.180644475528,40890.580510363114,-32027.337333580454,40602.31737036321,-32589.023955370598,41178.843650363015,61.82229347616578,3754.0,50,50
5,N,769029,769042,-32767.41547890563,41340.758590363155,-32589.023955370598,41178.843650363015,-32945.80700244066,41502.673530363296,65.78316034455219,2937.5,50,50
5,N,769042,769054,-33150.66446924575,41630.19059036327,-32945.80700244066,41502.673530363296,-33355.52193605084,41757.70765036325,68.56256045053962,2023.5,50,50
5,N,769054,759672,-33944.32001192217,42677.04387036327,-33355.52193605084,41757.70765036325,-34533.1180877935,43596.38009036329,66.58425665906658,2112.5,50,50
5,N,759672,759677,-34953.94502894241,45750.7003903633,-34533.1180877935,43596.38009036329,-35374.77197009134,47905.02069036331,64.36045329363279,1662.0,50,50
5,S,762398,715898,20552.100302139992,-20988.86788963675,20883.24734841305,-21204.105109636726,20220.953255866934,-20773.63066963677,51.76352601592659,7199.0,21,21
5,S,715898,716898,19988.79990332137,-20622.847729636997,20220.953255866934,-20773.63066963677,19756.646550775804,-20472.06478963723,55.138347531438804,6582.0,21,21
5,S,716898,763748,19098.87103390956,-20042.480909637,19756.646550775804,-20472.06478963723,18441.095517043315,-19612.897029636773,53.93877331004869,6063.0,21,21
5,S,763748,763706,17924.410220393882,-19275.82006963672,18441.095517043315,-19612.897029636773,17407.724923744452,-18938.743109636667,38.3444625917308,5602.5,18,18
5,S,763706,716907,17079.06770488725,-18715.936129636815,17407.724923744452,-18938.743109636667,16750.410486030047,-18493.129149636967,30.814123433354187,5712.5,18,18
5,S,716907,716906,16537.207486591335,-18309.896429636865,16750.410486030047,-18493.129149636967,16324.004487152622,-18126.66370963676,43.00174852481378,6609.0,18,18
5,S,716906,716908,15971.740015762423,-17730.754129636938,16324.004487152622,-18126.66370963676,15619.475544372224,-17334.844549637113,50.52447460503741,7046.5,18,18
5,S,716908,716912,15120.818442528598,-16795.554809637026,15619.475544372224,-17334.844549637113,14622.16134068497,-16256.265069636935,49.93378499961227,6963.5,28,28
5,S,716912,715920,14048.578876797372,-15266.57460963697,14622.16134068497,-16256.265069636935,13474.996412909773,-14276.884149637004,51.38187513759469,5969.0,28,28
5,S,715920,763990,13003.681304722264,-13475.101849637202,13474.996412909773,-14276.884149637004,12532.366196534755,-12673.3195496374,53.40351379917783,6192.5,28,28
5,S,763990,716916,12284.8128003442,-12453.573869637334,12532.366196534755,-12673.3195496374,12037.259404153647,-12233.828189637268,53.685506506700975,7903.5,28,28
5,S,716916,716918,11951.590897891485,-12159.91170963722,12037.259404153647,-12233.828189637268,11865.922391629321,-12085.99522963717,51.86488671190715,7701.0,28,28
5,S,716918,716895,11521.035186655397,-11771.961509637076,11865.922391629321,-12085.99522963717,11176.147981681474,-11457.92778963698,52.848763983082456,7824.5,28,28
5,S,716895,715929,11027.449955472795,-11021.55338963689,11176.147981681474,-11457.92778963698,10878.751929264115,-10585.1789896368,58.283583314160765,8641.5,28,28
5,S,715929,716920,10746.97550789893,-10320.627009636752,10878.751929264115,-10585.1789896368,10615.199086533743,-10056.0750296367,59.523087763321286,8060.5,28,28
5,S,716920,768523,10389.639165847706,-9763.136449636737,10615.199086533743,-10056.0750296367,10164.079245161669,-9470.197869636773,55.696153006806426,7065.0,28,28
5,S,768523,716922,9925.747431991458,-9219.672209636905,10164.079245161669,-9470.197869636773,9687.415618821247,-8969.146549637035,47.065358731502826,6952.5,13,13
5,S,716922,763980,9407.771113719115,-8635.910129637174,9687.415618821247,-8969.146549637035,9128.126608616984,-8302.67370963731,47.19045060672135,6838.0,13,13
5,S,763980,716924,9007.738842281771,-8151.055869637276,9128.126608616984,-8302.67370963731,8887.35107594656,-7999.438029637242,54.82385891417393,6594.5,13,13
5,S,716924,718364,8588.848433566895,-7580.874829637269,8887.35107594656,-7999.438029637242,8290.345791187226,-7162.311629637295,60.31174591543143,7542.5,13,13
5,S,718364,716928,8008.995293225331,-6876.386209637026,8290.345791187226,-7162.311629637295,7727.644795263434,-6590.460789636757,63.4963354136994,8155.0,13,13
5,S,716928,718085,7544.089185236747,-6388.025369636887,7727.644795263434,-6590.460789636757,7360.533575210059,-6185.589949637017,60.48272084037809,7530.5,13,13
5,S,718085,716930,7132.529935023812,-6057.571949637117,7360.533575210059,-6185.589949637017,6904.526294837565,-5929.553949637218,55.894825836938566,7119.5,13,13
5,S,716930,715947,6670.390301941658,-5829.588589637284,6904.526294837565,-5929.553949637218,6436.254309045752,-5729.623229637351,57.418241886860606,6960.0,13,13
5,S,715947,716934,5960.512841008348,-5476.14758963702,6436.254309045752,-5729.623229637351,5484.771372970944,-5222.6719496366895,59.53197992700119,7802.5,13,13
5,S,716934,716936,5141.682376686101,-5211.039009636794,5484.771372970944,-5222.6719496366895,4798.5933804012575,-5199.406069636898,62.173706893894604,9653.0,13,13
5,S,716936,759700,4502.257810031879,-5150.814889636978,4798.5933804012575,-5199.406069636898,4205.9222396625,-5102.223709637057,65.1248908080204,11964.0,13,13
5,S,759700,759707,3758.0299523473823,-4871.346029637018,4205.9222396625,-5102.223709637057,3310.1376650322645,-4640.468349636979,65.16458556968183,12447.5,16,16
5,S,759707,716938,2758.179813328631,-4422.0585096371,3310.1376650322645,-4640.468349636979,2206.221961624997,-4203.648669637221,62.441787783478304,7951.5,16,16
5,S,716938,716939,2149.417010217458,-3514.9118296371535,2206.221961624997,-4203.648669637221,2092.612058809919,-2826.174989637086,56.24222176249471,6102.5,16,16
5,S,716939,716940,2264.8251217216184,-2471.231169637057,2092.612058809919,-2826.174989637086,2437.0381846333175,-2116.287349637028,59.00171119112575,7004.0,45,45
5,S,716940,716941,2449.026242560091,-1585.847549637137,2437.0381846333175,-2116.287349637028,2461.014300486864,-1055.4077496372463,64.47423780832753,6341.5,47,47
5,S,716941,716943,2445.890904332454,-961.2310296373313,2461.014300486864,-1055.4077496372463,2430.767508178043,-867.0543096374163,64.1741137886182,6337.5,47,47
5,S,716943,716944,2307.198295700863,-290.30538963738024,2430.767508178043,-867.0543096374163,2183.629083223683,286.44353036265585,64.1741137886182,6337.5,47,47
5,S,716944,716946,1953.8272343483543,930.7080303626868,2183.629083223683,286.44353036265585,1724.0253854730254,1574.9725303627179,63.32020178133955,6540.0,54,54
5,S,716946,716949,1454.6168375235713,1700.4858303630087,1724.0253854730254,1574.9725303627179,1185.2082895741173,1825.9991303632996,62.763616203418195,6738.5,54,54
5,S,716949,718370,698.26259816603,2216.2870503630784,1185.2082895741173,1825.9991303632996,211.31690675794258,2606.5749703628567,50.59383733075607,9748.5,54,54
5,S,718370,716955,-27.66041722274211,2896.173950362947,211.31690675794258,2606.5749703628567,-266.6377412034268,3185.772930363037,35.7084839251068,13234.5,5,5
5,S,716955,718375,-481.7772730761815,3487.1718303629973,-266.6377412034268,3185.772930363037,-696.9168049489361,3788.5707303629574,34.599474381752344,11577.0,5,5
5,S,718375,718376,-895.2269478088281,3995.4032903627995,-696.9168049489361,3788.5707303629574,-1093.5370906687199,4202.235850362642,30.50602419793017,9177.0,5,5
5,S,718376,716958,-1628.4811216995427,4579.054050362812,-1093.5370906687199,4202.235850362642,-2163.4251527303654,4955.8722503629815,24.948094691020927,8983.0,5,5
5,S,716958,716960,-2423.4737939138604,5344.2120703629325,-2163.4251527303654,4955.8722503629815,-2683.522435097355,5732.551890362884,26.104980686277507,8689.0,5,5
5,S,716960,718089,-2790.4927981372625,6014.525450362848,-2683.522435097355,5732.551890362884,-2897.46316117717,6296.4990103628115,27.592976542867675,8529.5,5,5
5,S,718089,718379,-3155.6674857565963,7323.37035036303,-2897.46316117717,6296.4990103628115,-3413.8718103360225,8350.24169036325,30.083531366934366,9651.5,25,25
5,S,718379,718090,-3497.0504891823316,8741.364510363292,-3413.8718103360225,8350.24169036325,-3580.2291680286407,9132.487330363336,35.36997313654309,10995.0,25,25
5,S,718090,759747,-4081.5605289487253,9579.882410363287,-3580.2291680286407,9132.487330363336,-4582.89188986881,10027.277490363236,45.57809705908866,11060.5,25,25
5,S,759747,764417,-4757.0875931295395,10355.114890363282,-4582.89188986881,10027.277490363236,-4931.283296390268,10682.95229036333,53.332026195045025,10291.0,25,25
5,S,764417,716965,-4951.063591970165,10707.220050362965,-4931.283296390268,10682.95229036333,-4970.8438875500615,10731.4878103626,54.66056195996225,9792.5,25,25
5,S,716965,759762,-5262.384234748994,10998.37751036268,-4970.8438875500615,10731.4878103626,-5553.924581947925,11265.26721036276,54.682691710988635,9659.0,25,25
5,S,759762,759772,-5616.400806913286,11319.31307036275,-5553.924581947925,11265.26721036276,-5678.877031878647,11373.358930362741,54.6672331357384,9616.5,25,25
5,S,759772,759783,-5917.808247944346,11782.237290363042,-5678.877031878647,11373.358930362741,-6156.739464010043,12191.115650363343,56.36411458966475,9735.5,25,25
5,S,759783,716977,-6567.238232176311,12646.525770363227,-6156.739464010043,12191.115650363343,-6977.7370003425785,13101.935890363111,56.87993206337933,9536.0,25,25
5,S,716977,716975,-7109.974500859602,13203.07011036286,-6977.7370003425785,13101.935890363111,-7242.212001376624,13304.20433036261,52.435713971504995,8234.0,25,25
5,S,716975,716979,-7735.151721747443,13721.76565036274,-7242.212001376624,13304.20433036261,-8228.091442118262,14139.326970362872,48.670283703645865,7384.0,25,25
5,S,716979,716983,-8651.408210683036,14534.846930362888,-8228.091442118262,14139.326970362872,-9074.72497924781,14930.366890362902,50.98017354717541,8246.0,32,32
5,S,716983,716986,-9449.30568154809,15506.05827036284,-9074.72497924781,14930.366890362902,-9823.88638384837,16081.749650362779,53.27105248115792,8735.0,32,32
5,S,716986,716989,-10347.672299424152,16629.7223503627,-9823.88638384837,16081.749650362779,-10871.458214999933,17177.695050362618,52.78647648524331,8438.5,49,49
5,S,716989,716991,-11146.169173186003,17217.658930362963,-10871.458214999933,17177.695050362618,-11420.880131372072,17257.622810363308,53.35799841036123,8160.0,49,49
5,S,716991,716993,-11889.336548823176,17477.813770363042,-11420.880131372072,17257.622810363308,-12357.79296627428,17698.004730362773,57.027706559800706,7425.0,49,49
5,S,716993,716996,-12857.971629317068,17731.289410362973,-12357.79296627428,17698.004730362773,-13358.150292359855,17764.574090363178,56.59446200715267,6867.0,49,49
5,S,716996,716999,-13501.960879567458,17796.188970363248,-13358.150292359855,17764.574090363178,-13645.771466775059,17827.803850363318,57.1901510927376,7536.0,49,49
