fwy,dir,sta_from,sta_to,mid_x,mid_y,speed_pm_mph,vol_day_veh,cell_euclidean,cell_weighted
5,S,775536,768701,-24447.93381721082,29274.060210356678,63.75097349726836,81756.0,50,29
5,S,768701,759172,-25302.912886973987,30117.142230356618,67.02743206761204,54012.0,50,29
5,S,759172,759870,-27408.79969349399,31518.49405035658,68.67229808688577,68790.0,50,29
5,S,759870,716010,-29083.577493797413,33028.99513035663,65.47643679940492,90486.5,50,29
5,S,716010,759888,-29498.27208223799,33900.686390356714,64.42256361547048,97910.5,50,50
5,S,759888,759900,-29804.61307018511,34468.9193303565,64.67083638132134,94512.0,50,50
5,S,759900,774514,-30166.975174983025,35447.64477035646,64.92707454257733,94129.0,50,50
5,S,774514,769090,-30431.63460767702,36291.39471035669,64.95508716471213,97359.0,50,50
5,S,769090,772055,-30668.998154629884,37142.04649035689,64.11358618609854,92152.0,50,50
5,S,772055,759906,-30915.168313366892,37981.78891035657,65.03700296196072,83658.0,50,50
5,S,759906,759914,-31202.420624461545,38735.20267035628,65.94110706595058,74776.0,50,50
5,S,759914,716016,-31754.885663231347,39996.959210356305,64.72677455152146,68824.5,50,50
5,S,716016,769030,-32326.531594684246,40865.14389035654,64.68980745909579,67892.5,50,50
5,S,769030,769043,-32786.27361618118,41319.2738303565,67.56710855857361,54261.0,50,50
5,S,769043,769055,-33166.98667119046,41611.43317035645,66.64711594101837,87926.0,50,50
5,S,769055,759927,-33969.95601271719,42432.974770356595,66.63165796097222,94472.0,50,50
5,S,759927,773630,-34570.97268609023,43312.12447035643,66.69894260492981,44161.5,50,50
5,S,773630,759933,-34936.23958953953,45624.073890356325,66.59578564587868,39474.0,50,50
10,E,759257,737229,-22166.929149127063,-5455.163769643332,62.73516027796458,56709.0,31,31
10,E,737229,737237,-21710.9679766689,-5066.545649643293,62.160020008753825,63534.0,31,31
10,E,737237,737246,-21117.743540947675,-4742.604449643296,56.71952552671004,68008.5,31,31
10,E,737246,737257,-20465.31654223369,-4539.445449643275,52.69487125211917,77670.5,31,31
10,E,737257,765506,-19673.920287398192,-4373.912609643175,51.58443046185043,82715.0,31,31
10,E,765506,737278,-19080.00423295085,-4264.6520296433755,53.175252108717245,85546.0,31,31
