fwy,dir,sta_from,sta_to,mid_x,mid_y,x1,y1,x2,y2,speed_pm_mph,vol_day_veh,cell_euclidean_mid,cell_weighted_mid
110,S,774671,760643,-2643.5007647844136,-2409.9495096434703,-2974.278947736919,-2758.8263896433928,-2312.7225818319084,-2061.0726296435478,53.342036382063384,77993.5,9,51
110,S,760643,718173,-1879.7231510956112,-1662.9366496434138,-2312.7225818319084,-2061.0726296435478,-1446.7237203593143,-1264.80066964328,51.766602687302516,79788.0,51,51
110,S,718173,775610,-1041.3890386847006,-818.18482964334,-1446.7237203593143,-1264.80066964328,-636.0543570100868,-371.5689896434,40.748462704471805,62574.5,51,51
110,S,775610,718045,-177.37281756113578,-118.59428964338647,-636.0543570100868,-371.5689896434,281.3087218878153,134.38041035662707,26.998542242704573,57842.0,51,54
110,S,718045,760650,507.7908008762139,494.5006103566381,281.3087218878153,134.38041035662707,734.2728798646125,854.6208103566491,28.91050611223388,56940.5,51,54
110,S,760650,773012,1317.8146534143123,1396.248270356769,734.2728798646125,854.6208103566491,1901.356426964012,1937.8757303568889,45.76630845996231,47109.0,54,54
110,S,773012,767750,2550.786411195977,2434.2516103565667,1901.356426964012,1937.8757303568889,3200.216395427942,2930.6274903562444,61.44328660572696,37399.5,54,54
110,S,767750,767759,4540.066300419541,4034.031330356631,3200.216395427942,2930.6274903562444,5879.916205411139,5137.435170357017,64.27784073036047,35494.5,54,54
110,S,767759,767767,6585.597846069488,5486.31205035694,5879.916205411139,5137.435170357017,7291.279486727837,5835.188930356862,65.29142168860452,22796.5,30,22
118,E,760686,760693,-56073.90608165495,25180.322870356686,-56524.65705970648,25157.557930356816,-55623.15510360343,25203.087810356556,60.074388871263466,26934.0,55,55
118,E,760693,772132,-55158.47953519043,25173.588010356685,-55623.15510360343,25203.087810356556,-54693.80396677744,25144.088210356815,58.659768797080986,28948.5,55,55
118,E,772132,772125,-53892.863373515385,25059.262370356624,-54693.80396677744,25144.088210356815,-53091.92278025332,24974.436530356434,59.389310417844,29668.0,55,55
118,E,772125,772118,-52377.89560696135,24799.051870356685,-53091.92278025332,24974.436530356434,-51663.86843366937,24623.66721035694,62.511576642390985,29549.0,55,55
118,E,772118,760812,-51319.5345236766,24417.44691035674,-51663.86843366937,24623.66721035694,-50975.20061368384,24211.226610356534,64.21814091709176,28177.5,55,55
118,E,760812,760814,-50793.25878068563,24127.903590356505,-50975.20061368384,24211.226610356534,-50611.31694768742,24044.580570356477,65.55533087425079,27111.0,55,55
